,Pop,Raio_medio,std_R,tm,tm_std,tp,tp_std,I1,I2,I3,I4,I5,I6,I7,a,b,f=a+b/2,tetha,Excent,flong,sym,Conc
K0115,3,0.718062202123,0.344809764085,9.2973971181,0.389667956352,9.4052953962,0.118034774851,0.810271639444,0.444148912586,0.221756430888,1.17609520305,0.107539006429,0.249488407474,0.0118866488308,39.7503054552,12.4054231942,26.0778643247,-0.605194934215,0.687916280086,1.34800862,0.654205607477,0.53135666373
K0115,4,0.863603205618,0.253052853746,9.2973971181,0.389667956352,9.7901033465,0.193882904593,1.03246129427,0.593933249052,0.0722281837002,0.462255653792,0.0173989484515,0.0937952470357,0.0054320604034,43.9654118947,16.7523004945,30.3588561946,-0.200825691531,0.618966369867,2.32174759448,0.787313432836,0.222899529821
K0117,1,0.672705935919,0.245948283419,8.91000122254,0.267088254893,8.53645134806,0.182560114057,0.652781679029,0.0898369896145,0.0929163433627,0.0109594206626,-0.00105707912551,-0.00593879925999,-7.73845160186e-05,31.984302438,19.472530501,25.7284164695,-0.697031939015,0.391184768255,1.084264544,0.629422718808,0.320233461366
K0117,2,0.663494803567,0.26148006491,8.91000122254,0.267088254893,8.86242683984,0.0672826263455,0.647129199047,0.0525792466887,0.155783288594,0.0874517092102,8.86110354581e-05,-0.0024839312087,-0.002263965303,30.6803965403,21.1836443438,25.932020442,-0.201234568613,0.309538117735,1.40266351509,0.916201117318,0.33822402018
K0117,3,0.769614477056,0.344817388193,8.91000122254,0.267088254893,9.04724191485,0.053657454606,0.908250502227,0.447859233749,0.391865797762,1.19719373458,0.194957570614,0.292722858405,-0.0719253327575,41.0840175191,15.9924850871,28.5382513031,-0.512776390028,0.610737068749,1.49564912113,0.856074766355,0.480253149358
K0117,4,0.846558758855,0.321195873879,8.91000122254,0.267088254893,9.19448409231,0.0534486962498,1.04509634663,0.592312428379,0.321121233146,0.728163404847,0.0343831329558,0.0718068282039,0.0397616094253,44.1063960362,17.1846558261,30.6455259311,-0.155154375766,0.61038177293,2.38626977122,0.90671641791,0.289901700343
K0119,1,0.825240160816,0.163008171418,9.67252928373,0.257398488846,9.30086015203,0.107669758619,0.901135971181,0.0109348771588,0.0261340590869,0.805034005818,-0.0267846297305,0.0340962976551,0.00534535001069,45.0947602154,40.1329847952,42.6138725053,-0.354296899233,0.110029976798,1.09235668801,0.055390702275,0.116637348594
K0119,2,0.55319863354,0.258945658794,9.67252928373,0.257398488846,9.62191613744,0.0568416133064,0.475061171818,0.00757285557289,0.00414553931331,0.180170227564,-0.000988103691121,0.00675328079675,-0.000998531480366,33.7124975065,28.0109780391,30.8617377728,-0.5761067806,0.169121835793,1.07744756166,0.623145400593,0.501148412721
K0119,3,0.602408398444,0.218791821156,9.67252928373,0.257398488846,9.79977885229,0.0519396251091,0.524115468219,0.00404320878765,0.000134979825365,0.0452653462483,3.12887282588e-05,-0.000520302572033,-4.35579114027e-06,34.4380898027,30.4852095363,32.4616496695,0.056161078839,0.114782216118,0.8859048491,0.909811694747,0.275290827615
K0119,4,0.735190260674,0.224016607049,9.67252928373,0.257398488846,9.96767773048,0.0584272871945,0.752964415253,0.118761535098,0.149403390869,0.60469770874,0.0085493337091,0.0353851940397,0.0183254235763,47.086265391,28.720373416,37.9033194035,-0.503358829422,0.390047752194,0.778987160636,0.734653465347,0.231359782344
K0122,1,0.917321278028,0.325029050864,8.87496870829,0.51726757108,8.17274666468,0.386786427776,1.20486364743,0.776764100323,1.17955237469,3.9448692364,2.78499480648,1.89660577756,0.637665885241,43.0412686387,16.949543705,29.9954061718,0.205263326759,0.606202506547,2.25247510633,0.0,0.342669294374
K0122,2,0.914806244281,0.27991070608,8.87496870829,0.51726757108,8.8277610502,0.0817337210284,1.16434847009,0.825740222423,0.659519992264,0.565011977858,-0.0680336432045,-0.0882278639533,0.0325958993514,42.9053523005,15.0669713897,28.9861618451,0.189110848743,0.64883235816,2.50601737051,0.986486486486,0.299486524115
K0122,3,0.619588944665,0.217038558926,8.87496870829,0.51726757108,9.03823185353,0.0765036545389,0.550766773817,0.026940436925,0.0187971710783,0.235990879638,0.00373701235055,0.014454756952,4.29261478394e-05,25.1390839443,18.4873501224,21.8132170334,0.623901596998,0.264597303412,1.09952109779,0.574660633484,0.31387661361
K0122,4,0.591200325337,0.410464267018,8.87496870829,0.51726757108,9.46255114404,0.200881165029,0.660130752259,0.312233603593,0.454540050013,1.36573987452,0.279658422723,0.33055761719,-0.0148525190514,32.8626497615,9.47617769227,21.1694137269,0.384606251702,0.711642921035,2.02583580684,0.455981941309,0.762614293311
K0123,1,0.735620056173,0.310231051526,9.42763148988,0.149872125212,9.22607651452,0.161099644151,0.809168975069,0.363562183378,0.162157353103,1.06810263219,0.162723022393,0.389820994334,-0.00697641794373,23.164832366,8.85205978896,16.0084460775,-0.138007623431,0.617866443016,0.406020018046,0.873684210526,0.378626254985
K0123,2,0.732493528027,0.327903533012,9.42763148988,0.149872125212,9.44511143833,0.0259850100233,0.817590027701,0.233146480613,0.380824730453,1.22547938912,-0.135962238766,0.107234095547,-0.110653320562,22.229892902,11.2783102732,16.7541015876,-0.771254783485,0.492651164677,0.983433828705,0.315789473684,0.443266834054
K0123,3,0.675366195625,0.298628773886,9.42763148988,0.149872125212,9.49485559992,0.0178643870587,0.699581258488,0.0576051039504,0.191694361064,0.728680659472,0.0228691052971,0.0805053537956,0.0292982630505,18.7959184718,13.1452864246,15.9706024482,-0.329177501641,0.300630802141,0.757034281537,0.606382978723,0.38727953055
K0123,4,0.803971637227,0.350754100675,9.42763148988,0.149872125212,9.5453590085,0.0591578976114,0.981887405168,0.66714404821,1.09159219916,2.26398616368,0.0344557542996,0.777323395435,-0.0041400251008,26.0748850374,7.89982585851,16.9873554479,-0.445265673897,0.697033147138,0.55945837512,0.677248677249,0.402359478109
K0124,1,0.709674546068,0.189605911405,8.91669063194,0.311917147424,8.56531049277,0.123031771779,0.685255103746,0.0679575732644,0.080691339198,0.0500424895137,0.00314999841435,0.00561050432842,0.00155493503467,25.5849907503,17.1406333573,21.3628120538,0.553015491768,0.330051219304,0.84181718282,0.508670520231,0.250157970077
