,#Populacao,Conc,Exc,I1,I2,I3,I4,I5,I6,I7,M_p,M_t,Rm/re,Sim,a,b,f=a+b/2,flong,obj,std,tetha,tm,tm_std,tp,tp_std
K0159,1,0.42799862519,0.676883771191,1.05380560309,0.730279625957,0.626322477119,0.84091383413,0.315001412968,0.409047341323,0.0890878969504,38488.7732218,204693.19325,0.821134253399,0.659279778393,37.1193056465,11.9938500565,24.5565778515,2.90527807308,,0.392397423539,-0.11879685043,9.0575235333,0.31179953799,8.75076699061,0.0625297163722
K0159,2,0.394910137407,0.485576938644,0.853983625049,0.246593664586,0.443604125909,0.654394230668,0.0187632257571,0.0196253184524,0.0029179058672,40021.1404168,204693.19325,0.758680371925,0.476454293629,31.2267252221,16.0637475849,23.6452364035,1.65727929171,,0.309047540749,-0.320332026429,9.0575235333,0.31179953799,8.8999936129,0.0491378492909
K0159,3,0.55192005911,0.643030502808,0.913633506878,0.500000367934,0.47131773745,1.86850880017,0.31416224789,0.401025041176,-0.0116428827926,63608.6509687,204693.19325,0.747241528595,0.696378830084,34.1129259025,12.1772740072,23.1450999549,1.91723064318,,0.394698868271,-0.369304641251,9.0575235333,0.31179953799,9.08550961595,0.047256498288
K0159,4,0.490726931356,0.770749815066,1.49307098765,1.80625143366,0.727268880455,1.39822605534,0.209872963511,0.420098505112,0.054780419792,62495.0707141,204693.19325,0.99027424564,0.822222222222,45.195889848,10.3611661059,27.7785279769,3.17741001445,,0.435324403535,-0.212911770791,9.0575235333,0.31179953799,9.49460407273,0.264455712872
K0161,1,0.523683739462,0.61929287257,0.877567136014,0.429528635874,0.224066616897,2.31102073598,0.326066443037,0.512398236411,0.0454574642361,42695.7692465,160780.21238,0.752487762719,0.303614457831,35.6700115901,13.5798276479,24.624919619,1.20862969943,,0.351233366494,-0.658680066787,8.90327892395,0.238764093294,8.66897405631,0.147806045902
K0161,2,0.511258190499,0.606023187387,0.816385542169,0.356412150628,0.470655902171,1.08012142339,0.374007750669,0.380427847234,0.0791508899882,35256.7132933,160780.21238,0.722230261074,0.592771084337,34.2507253957,13.4939916211,23.8723585084,2.26978286229,,0.346296639133,-0.197618506259,8.90327892395,0.238764093294,8.80598805034,0.0485962144294
K0161,3,0.3435589112,0.615283240098,0.842890560418,0.391314001181,0.435218514221,0.579506801977,0.216042050719,0.272674528953,-0.0104215341525,46355.0824653,160780.21238,0.764436330095,0.634382566586,34.8271832668,13.3986011029,24.1128921848,2.58863964762,,0.27330421602,-0.0353529177922,8.90327892395,0.238764093294,8.93857913401,0.0333658611187
K0161,4,0.467950544225,0.572392079106,0.90318910593,0.389317779428,0.642743830012,3.26445247009,0.740550072598,0.59335945821,0.155267895521,36277.9668348,160780.21238,0.772275830443,0.285024154589,35.5594425034,15.2054992771,25.3824708903,1.16596660346,,0.334037280971,-0.674215246612,8.90327892395,0.238764093294,9.19995493138,0.221988810884
K0166,1,0.376362049728,0.286359464871,0.902224106345,0.0860498539804,0.541047999353,2.13354429679,-0.00725911257857,0.0734647674499,-0.282476732106,5050.93187238,60650.7356252,0.789734546793,0.350194552529,24.7895393949,17.6908201594,21.2401797771,0.914360414019,,0.293737283062,0.646294416191,8.47919261129,0.626354837965,7.73711624625,0.873044396786
K0166,2,0.297265547898,0.843527052673,2.14932852882,4.18855687383,0.875571144426,2.34526210762,0.508050763471,1.45364458489,0.22180767505,8538.73926291,60650.7356252,1.23647014332,0.887159533074,46.4403425871,7.26665727948,26.8534999333,1.37160008278,,0.402845965557,-0.621889897158,8.47919261129,0.626354837965,8.59929603404,0.0347237998327
K0166,3,0.33529348146,0.48297929608,0.642829680892,0.138122961905,0.208909044446,0.191501226874,0.0206216899773,0.0388460898205,-0.00969823358526,12250.8376662,60650.7356252,0.662204061708,0.847058823529,22.7460791212,11.7601938386,17.2531364799,1.53442690726,,0.251802947529,-0.398814537253,8.47919261129,0.626354837965,8.67912055228,0.0403183594333
K0166,4,0.535016540874,0.51608154263,0.508605957031,0.0996012212709,0.0569166578225,0.265681465318,0.00470815486207,0.0226757312999,0.000491497602444,34779.0291473,60650.7356252,0.558516740381,0.8046875,20.5424369332,9.94086439132,15.2416506622,1.15400363048,,0.294747026181,-0.669733786138,8.47919261129,0.626354837965,8.90341853797,0.136005479323
K0172,1,0.256689546225,0.724424838719,1.31796296296,1.28123186252,1.05840357255,5.78800252266,3.39095037703,2.81821541279,0.118195772355,3283.81086776,28570.0851156,0.982830715088,0.955555555556,29.6977459351,8.18396112576,18.9408535304,0.520764363934,,0.268190600367,0.419937108927,8.58852689132,0.258645185625,8.21632646416,2.31570536508e-14
K0172,2,0.325434243273,0.310534270642,0.593179012346,0.0444929936366,0.0383874172721,0.271557398284,0.00174256825921,0.00318457052809,0.00667389444532,8988.39151742,28570.0851156,0.627036418301,0.2,17.0141279236,11.7306581183,14.3723930209,0.975786070852,,0.272360108735,0.750912032064,8.58852689132,0.258645185625,8.54531533281,0.139073487733
K0172,3,0.445476793196,0.297979684144,0.342949122586,0.0135750052345,0.00940963131502,0.0194926684208,0.000146491441253,0.00145373368379,-4.65760401889e-05,6676.15583504,28570.0851156,0.471317922563,0.314606741573,12.7893743843,8.97840064486,10.8838875146,1.23452088352,,0.212315841027,0.456658467366,8.58852689132,0.258645185625,8.70668390917,0.0496935345194
K0172,4,0.431187189736,0.823688487608,1.58162978684,2.20897493894,6.08487453824,14.8883879763,18.6398122314,8.49607708249,-1.71470956713,9551.42155433,28570.0851156,1.02659555131,0.927374301676,33.1406892586,5.84308504488,19.4918871517,0.427517080074,,0.430415469364,0.372358405802,8.58852689132,0.258645185625,8.88741816431,0.038216505185
K0175,1,0.269702415343,0.518544360149,0.885613504661,0.305040514033,0.207055560176,1.33851324078,0.120778505367,0.216344310089,0.0747238168682,12474.0471153,89773.7686885,0.799409627967,0.444444444444,23.3137961827,11.2245586585,17.2691774206,1.16067150051,,0.243380366319,0.665674868306,8.96542262194,0.247419729268,8.64464999423,0.157133162095
K0175,2,0.477635751305,0.529485643024,0.734863060208,0.219460046575,0.225398354929,0.893564844989,0.000910063165551,0.0992241035575,-0.00530766621902,17249.9423725,89773.7686885,0.688723283108,0.776595744681,21.27090942,10.008268268,15.639588844,1.11148113298,,0.319852824296,0.70242666447,8.96542262194,0.247419729268,8.91810805793,0.0835665693393
K0175,3,0.333461971437,0.807231249186,1.81462200091,2.83785000815,1.81887412839,6.90212724743,2.26511760783,2.84062294578,0.274093433161,13160.5102958,89773.7686885,1.1352190925,0.776595744681,36.2726404086,6.99223158027,21.6324359944,1.46226867622,,0.366851463616,0.584705519274,8.96542262194,0.247419729268,9.0653459032,0.012707466973
