obj,#Populacao,Rm/re,std,tm,tm_std,tp,tp_std,M_t,M_p,I1,I2,I3,I4,I5,I6,I7,a,b,f=a+b/2,tetha,Exc,flong,Sim,Conc
K0876,1,0.686813537733,0.161433870705,9.26612886861,0.243584403778,8.93015827194,0.111965607716,636752.115348,60911.9105327,0.633806173288,0.0741770958746,0.00357727023557,0.13278047678,9.73760430759e-05,0.0174217706615,-0.000995517341809,34.0038425091,21.4758480356,27.7398452724,0.0245271660703,0.368428787722,1.58234950647,0.489028213166,0.208406878443
K0876,2,0.683313019645,0.240507115328,9.26612886861,0.243584403778,9.22804831652,0.0615948473556,636752.115348,146464.82728,0.668107133381,0.109462212259,0.117034419297,0.190781648492,-0.000376957870133,-0.00984622463218,-0.0014622135478,35.7025243733,20.7446175612,28.2235709673,-0.0777236243654,0.418959361409,0.585637506146,0.855799373041,0.35951407392
K0876,3,0.768932051328,0.27370772148,9.26612886861,0.243584403778,9.3563059363,0.040788724471,636752.115348,129049.079237,0.85081187453,0.194397552597,0.381756028578,0.71332951489,0.00523164718751,0.0205353560758,0.0782332921295,40.534730116,22.8342081805,31.6844691482,0.0781219570952,0.436675460398,0.568185450536,0.591194968553,0.344558611036
K0876,4,0.693340642836,0.377282565578,9.26612886861,0.243584403778,9.55027557244,0.126987119822,636752.115348,300024.296366,0.794360830916,0.399328929131,0.210301212714,0.012537302036,0.000401995714725,0.0173175315504,0.00112920009699,42.6273136601,14.3855318741,28.5064227671,0.267075922719,0.662527833941,0.432614877418,0.7284144427,0.719637504733
K0886,1,0.745996382126,0.240422885355,9.36257021135,0.183463005133,9.13606004004,0.104845263304,2470028.54364,246231.837533,0.781778068846,0.279217716657,0.0823632163595,0.0901009773097,0.00108934568563,0.00608807268774,-0.0013496000199,46.8881276447,20.6191824529,33.7536550488,0.0257534502095,0.560247263249,2.27025954787,0.994040524434,0.347984694685
K0886,2,0.744508956092,0.213530519451,9.36257021135,0.183463005133,9.30499407034,0.0316375593789,2470028.54364,234276.559263,0.764348289199,0.060138642002,0.0448248553794,0.048686106332,1.80701316947e-06,-0.000198561496815,-0.000119370816945,41.1346113501,29.4964271475,35.3155192488,0.271257887295,0.282929236976,1.32579934483,0.780429594272,0.287694879501
K0886,3,0.714510268749,0.204221374917,9.36257021135,0.183463005133,9.41646688614,0.0292562741684,2470028.54364,257514.169722,0.703625805276,0.0226166968307,0.00393774142513,0.143967757232,-0.00147333169785,0.00133607234912,-0.000183480484345,37.8328951151,30.4503817135,34.1416384143,-0.447655777473,0.195134773036,0.874199468334,0.560859188544,0.21787904076
K0886,4,0.519210005646,0.284047239351,9.36257021135,0.183463005133,9.5930301474,0.105361459524,2470028.54364,1732005.97713,0.44620388355,0.0320020075304,0.0382644893846,0.0501816316596,-0.000231924669724,0.000573330520491,0.000557271794208,32.3675625821,21.1663957762,26.7669791791,0.573019899018,0.346061486018,1.18145437846,0.980906921241,0.604132338086
K0887,1,0.808169698519,0.212860128115,9.14096821732,0.252145843782,8.83669539768,0.120203082454,882249.07406,68599.6139737,0.888865657108,0.162030859755,0.0320701872949,0.120154281789,-0.00184860555866,0.0184323435265,-0.00123196277261,46.2165485468,28.3619152057,37.2892318762,0.534934404309,0.386325545772,1.24733598107,0.686819830713,0.257972606243
K0887,2,0.700326170688,0.225213338583,9.14096821732,0.252145843782,9.05346981269,0.0596354788729,882249.07406,128696.459555,0.689528871014,0.0360841352894,0.0453251634093,0.027747647767,-0.000392514962195,-0.00541506111941,0.000992292696506,38.1170921975,28.7278727412,33.4224824694,-0.500514759387,0.246325701017,0.860950887329,0.842615012107,0.337649211493
K0887,3,0.734438464162,0.243674499824,9.14096821732,0.252145843782,9.20461696863,0.0333556858281,882249.07406,134304.920967,0.762912662911,0.25312499336,0.034885258116,0.0161778787153,2.69862551116e-06,0.000306041783855,-1.29170468771e-06,45.7326816999,20.7167869805,33.2247343402,-0.249808675719,0.547002576486,1.9362289947,0.799031476998,0.328193916044
K0887,4,0.513277661294,0.257374289325,9.14096821732,0.252145843782,9.4694590593,0.151388013446,882249.07406,550648.079563,0.420019171127,0.00110491093481,0.0140105247739,0.0296943414296,2.02556962466e-05,-0.00073166596478,0.000434971317132,27.3639266566,25.2776355567,26.3207811066,-0.598080385896,0.0762423875058,1.02939161903,0.961259079903,0.605519017749
K0889,1,0.629140550632,0.252775722212,9.18247872977,0.171099667049,8.956175664,0.0964797093884,1044024.96543,179888.209812,0.58481181228,0.0445905605075,0.0490859345267,0.349164774962,0.00864248394731,0.01691402614,-0.00558757991116,36.1963735209,24.7996578598,30.4980156903,0.0366480075168,0.314857941626,0.68590599984,0.561360874848,0.400477411503
K0889,2,0.72053066984,0.236712790165,9.18247872977,0.171099667049,9.13620630642,0.041156942342,1044024.96543,155947.023473,0.732648693768,0.0604205985627,0.119711063488,0.0686460332898,-2.91851593935e-05,-0.00198064741046,-0.000294036771659,40.1071009474,28.2907998951,34.1989504212,-0.326272939446,0.294618677821,0.760964344394,0.995133819951,0.286479601516
K0889,3,0.72669705482,0.250566706239,9.18247872977,0.171099667049,9.25011504515,0.0271913020558,1044024.96543,235609.246059,0.752606247891,0.286323083936,0.324782926788,0.427639190501,-0.00671291227859,0.0456097858457,0.00429500452156,46.0106005128,18.9101555656,32.4603780392,0.756376430664,0.589004373887,1.04213163998,0.851581508516,0.355013210261
K0889,4,0.631482516193,0.230485559471,9.18247872977,0.171099667049,9.3879431681,0.0719949935353,1044024.96543,472580.486083,0.576279484482,0.057649347302,0.0271531999871,0.239381642948,0.00149964058966,0.0269579335394,0.00593794906328,36.6128349937,23.4947258074,30.0537804005,-0.643439813354,0.358292636682,1.12439299532,0.255785627284,0.328766712958
